TLD,TLD_Freq
com,0.651281449768342
,0.07764940472699548
org,0.014837839422907747
br,0.011964107676969093
deviaSurveyMonkey,0.00011729517330361856
eu,0.0088557855844232
si,0.00011729517330361856
de,0.038883349950149554
lv,0.00011729517330361856
info,0.0045745117588411235
mobi,5.864758665180928e-05
sa,0.0004105331065626649
COM,0.005160987625359216
nl,0.001231599319687995
io,0.006392586945047211
pl,0.006744472464958067
fr,0.004691806932144742
jp,0.018473989795319924
edu,0.0009383613864289485
it,0.005923406251832737
ar,0.0015248372529470412
uk,0.009911442144155768
net,0.026332766406662367
live,0.0007624186264735206
ch,0.006568529705002639
Laprairie,0.00017594275995542783
ci,5.864758665180928e-05
mx,0.008034719371297872
asia,0.0015248372529470412
online,0.00035188551991085566
ca,0.0028737317459386546
au,0.0034602076124567475
ru,0.0015834848395988505
es,0.0034602076124567475
co,0.009149023517682247
Beiersdorf®,0.00011729517330361856
pe,0.00017594275995542783
comviaSurveyMonkey,0.00046918069321447424
lk,5.864758665180928e-05
vip,5.864758665180928e-05
th,0.000645123453169902
ph,0.0002932379332590464
tech,0.001055656559732567
us,0.0019353703595097061
cn,0.0026391413993314176
ai,0.0029910269192422734
at,0.0022872558794205617
marketing,5.864758665180928e-05
be,0.003401560025804938
cc,0.00011729517330361856
noreplyBeiersdorf,5.864758665180928e-05
ro,0.0005278282798662835
id,0.0011143041463843762
berlin,0.00017594275995542783
consulting,0.00017594275995542783
sv,0.00011729517330361856
gt,0.00017594275995542783
za,0.00246319863937599
Tesa,0.0013488944929916135
TesaonbehalfofVanessaFrickeviaSecureMailDeliveryReport,5.864758665180928e-05
international,0.00011729517330361856
hamburg,5.864758665180928e-05
AU,5.864758665180928e-05
team,0.00011729517330361856
in,0.003401560025804938
tw,0.0008210662131253298
tr,0.0005278282798662835
Net,0.0005278282798662835
me,0.0009970089730807576
expert,0.00035188551991085566
bg,0.00017594275995542783
eus,5.864758665180928e-05
cz,0.0020526655328133247
ps,0.00017594275995542783
vn,0.0004105331065626649
comviabeiersdorf,5.864758665180928e-05
pk,0.0004105331065626649
cat,0.00035188551991085566
ink,5.864758665180928e-05
fyi,5.864758665180928e-05
pro,0.00011729517330361856
Com,0.00011729517330361856
lt,0.00035188551991085566
ltd,0.0002932379332590464
uz,5.864758665180928e-05
events,0.00023459034660723712
py,5.864758665180928e-05
lat,0.00011729517330361856
Beiersdorf,0.0007624186264735206
ae,0.0007037710398217113
app,0.0056301683185736905
cloud,0.0004105331065626649
church,0.0002932379332590464
ag,0.00023459034660723712
my,0.0015248372529470412
rs,0.0007624186264735206
top,0.00011729517330361856
gy,0.00011729517330361856
digital,0.00023459034660723712
agency,0.000645123453169902
financial,0.00011729517330361856
cl,0.0013488944929916135
hu,0.0009970089730807576
cr,0.00017594275995542783
HRJanuary23,0.00011729517330361856
mz,0.00011729517330361856
gr,0.0004105331065626649
Scheduled-ACH-Payment-Confirmation,0.00023459034660723712
ke,0.00017594275995542783
hr,0.0002932379332590464
sh,0.00011729517330361856
ad,0.00011729517330361856
om,0.00011729517330361856
wiki,0.00023459034660723712
pt,0.000645123453169902
space,5.864758665180928e-05
ec,0.0002932379332590464
services,0.00017594275995542783
management,5.864758665180928e-05
se,0.00035188551991085566
gov,0.00017594275995542783
mc,5.864758665180928e-05
ie,0.00017594275995542783
eg,5.864758665180928e-05
